0,SyntaxError,"cannot assign to literal (2912417615.py, line 1)",0,,2022-01-17 23:10:38.153823,"[('return compile(source, filename, symbol, self.flags | PyCF_ONLY_AST, 1)', 101)]","['Traceback (most recent call last):', '  File ""/opt/conda/lib/python3.9/site-packages/IPython/core/interactiveshell.py"", line 3143, in run_cell_async', '    code_ast = compiler.ast_parse(cell, filename=cell_name)', '  File ""/opt/conda/lib/python3.9/site-packages/IPython/core/compilerop.py"", line 101, in ast_parse', '    return compile(source, filename, symbol, self.flags | PyCF_ONLY_AST, 1)', '  File ""/tmp/ipykernel_910/2912417615.py"", line 1', '    4 = 2 + 2', '    ^', 'SyntaxError: cannot assign to literal']"
1,SyntaxError,"invalid syntax (3853341378.py, line 2)",0,,2022-01-17 23:10:38.198286,"[('return compile(source, filename, symbol, self.flags | PyCF_ONLY_AST, 1)', 101)]","['Traceback (most recent call last):', '  File ""/opt/conda/lib/python3.9/site-packages/IPython/core/interactiveshell.py"", line 3143, in run_cell_async', '    code_ast = compiler.ast_parse(cell, filename=cell_name)', '  File ""/opt/conda/lib/python3.9/site-packages/IPython/core/compilerop.py"", line 101, in ast_parse', '    return compile(source, filename, symbol, self.flags | PyCF_ONLY_AST, 1)', '  File ""/tmp/ipykernel_910/3853341378.py"", line 2', '    six = two plus two', '              ^', 'SyntaxError: invalid syntax']"
2,TypeError,unsupported operand type(s) for +: 'NoneType' and 'int',0,,2022-01-17 23:10:38.373350,"[('y = x + 2', 2)]","['Traceback (most recent call last):', '  File ""/opt/conda/lib/python3.9/site-packages/IPython/core/interactiveshell.py"", line 3444, in run_code', '    exec(code_obj, self.user_global_ns, self.user_ns)', '  File ""/tmp/ipykernel_910/2727161758.py"", line 2, in <module>', '    y = x + 2', ""TypeError: unsupported operand type(s) for +: 'NoneType' and 'int'""]"
3,SyntaxError,"cannot assign to literal (2912417615.py, line 1)",0,,2022-01-17 23:34:05.757860,"[('return compile(source, filename, symbol, self.flags | PyCF_ONLY_AST, 1)', 101)]","['Traceback (most recent call last):', '  File ""/opt/conda/lib/python3.9/site-packages/IPython/core/interactiveshell.py"", line 3143, in run_cell_async', '    code_ast = compiler.ast_parse(cell, filename=cell_name)', '  File ""/opt/conda/lib/python3.9/site-packages/IPython/core/compilerop.py"", line 101, in ast_parse', '    return compile(source, filename, symbol, self.flags | PyCF_ONLY_AST, 1)', '  File ""/tmp/ipykernel_1846/2912417615.py"", line 1', '    4 = 2 + 2', '    ^', 'SyntaxError: cannot assign to literal']"
4,SyntaxError,"invalid syntax (3853341378.py, line 2)",0,,2022-01-17 23:34:05.800300,"[('return compile(source, filename, symbol, self.flags | PyCF_ONLY_AST, 1)', 101)]","['Traceback (most recent call last):', '  File ""/opt/conda/lib/python3.9/site-packages/IPython/core/interactiveshell.py"", line 3143, in run_cell_async', '    code_ast = compiler.ast_parse(cell, filename=cell_name)', '  File ""/opt/conda/lib/python3.9/site-packages/IPython/core/compilerop.py"", line 101, in ast_parse', '    return compile(source, filename, symbol, self.flags | PyCF_ONLY_AST, 1)', '  File ""/tmp/ipykernel_1846/3853341378.py"", line 2', '    six = two plus two', '              ^', 'SyntaxError: invalid syntax']"
5,TypeError,unsupported operand type(s) for +: 'NoneType' and 'int',0,,2022-01-17 23:34:05.970964,"[('y = x + 2', 2)]","['Traceback (most recent call last):', '  File ""/opt/conda/lib/python3.9/site-packages/IPython/core/interactiveshell.py"", line 3444, in run_code', '    exec(code_obj, self.user_global_ns, self.user_ns)', '  File ""/tmp/ipykernel_1846/2727161758.py"", line 2, in <module>', '    y = x + 2', ""TypeError: unsupported operand type(s) for +: 'NoneType' and 'int'""]"
6,SyntaxError,"cannot assign to literal (2912417615.py, line 1)",0,,2022-01-18 11:05:22.676888,"[('return compile(source, filename, symbol, self.flags | PyCF_ONLY_AST, 1)', 101)]","['Traceback (most recent call last):', '  File ""/opt/conda/lib/python3.9/site-packages/IPython/core/interactiveshell.py"", line 3143, in run_cell_async', '    code_ast = compiler.ast_parse(cell, filename=cell_name)', '  File ""/opt/conda/lib/python3.9/site-packages/IPython/core/compilerop.py"", line 101, in ast_parse', '    return compile(source, filename, symbol, self.flags | PyCF_ONLY_AST, 1)', '  File ""/tmp/ipykernel_161/2912417615.py"", line 1', '    4 = 2 + 2', '    ^', 'SyntaxError: cannot assign to literal']"
7,SyntaxError,"invalid syntax (3853341378.py, line 2)",0,,2022-01-18 11:05:22.717606,"[('return compile(source, filename, symbol, self.flags | PyCF_ONLY_AST, 1)', 101)]","['Traceback (most recent call last):', '  File ""/opt/conda/lib/python3.9/site-packages/IPython/core/interactiveshell.py"", line 3143, in run_cell_async', '    code_ast = compiler.ast_parse(cell, filename=cell_name)', '  File ""/opt/conda/lib/python3.9/site-packages/IPython/core/compilerop.py"", line 101, in ast_parse', '    return compile(source, filename, symbol, self.flags | PyCF_ONLY_AST, 1)', '  File ""/tmp/ipykernel_161/3853341378.py"", line 2', '    six = two plus two', '              ^', 'SyntaxError: invalid syntax']"
8,TypeError,unsupported operand type(s) for +: 'NoneType' and 'int',0,,2022-01-18 11:05:22.882601,"[('y = x + 2', 2)]","['Traceback (most recent call last):', '  File ""/opt/conda/lib/python3.9/site-packages/IPython/core/interactiveshell.py"", line 3444, in run_code', '    exec(code_obj, self.user_global_ns, self.user_ns)', '  File ""/tmp/ipykernel_161/2727161758.py"", line 2, in <module>', '    y = x + 2', ""TypeError: unsupported operand type(s) for +: 'NoneType' and 'int'""]"
9,SyntaxError,"cannot assign to literal (2912417615.py, line 1)",0,,2022-01-18 11:06:34.975944,"[('return compile(source, filename, symbol, self.flags | PyCF_ONLY_AST, 1)', 101)]","['Traceback (most recent call last):', '  File ""/opt/conda/lib/python3.9/site-packages/IPython/core/interactiveshell.py"", line 3143, in run_cell_async', '    code_ast = compiler.ast_parse(cell, filename=cell_name)', '  File ""/opt/conda/lib/python3.9/site-packages/IPython/core/compilerop.py"", line 101, in ast_parse', '    return compile(source, filename, symbol, self.flags | PyCF_ONLY_AST, 1)', '  File ""/tmp/ipykernel_430/2912417615.py"", line 1', '    4 = 2 + 2', '    ^', 'SyntaxError: cannot assign to literal']"
